blocksize repetition time
100 1 14.5
100 1 14.4
100 2 16.4
100 3 14.4
100 4 14.6
100 5 16.4
100 6 14.4
100 7 14.4
100 8 16.4
100 9 16.3
100 10 14.4
100 11 15.4
100 12 15.4
100 13 14.3
100 14 14.4
100 15 14.3
100 16 15.4
100 17 15.4
100 18 14.3
100 19 14.4
100 20 15.4
50 1 17.4
50 1 20.4
50 2 18.4
50 3 17.4
50 4 17.4
50 5 19.4
50 6 18.4
50 7 17.4
50 8 18.4
50 9 19.4
50 10 18.4
50 11 17.4
50 12 18.4
50 13 19.4
50 14 20.4
50 15 18.4
50 16 18.4
50 17 19.4
50 18 19.4
50 19 15.5
50 20 17.4
20 1 28.4
20 1 29.4
20 2 31.4
20 3 29.4
20 4 30.5
20 5 28.5
20 6 31.4
20 7 29.4
20 8 30.4
20 9 28.4
20 10 26.4
20 11 27.4
20 12 29.4
20 13 27.4
20 14 28.5
20 15 28.4
20 16 30.4
20 17 27.4
20 18 31.4
20 19 29.4
20 20 27.4
10 1 48.5
10 1 49.4
10 2 48.5
10 3 50.5
10 4 44.5
10 5 45.5
10 6 45.4
10 7 48.4
10 8 47.5
10 9 50.4
10 10 49.5
10 11 46.5
10 12 50.5
10 13 49.4
10 14 48.4
10 15 45.5
10 16 49.5
10 17 49.4
10 18 46.5
10 19 44.5
10 20 45.5
