blocksize repetition time
100 1 14.5
100 1 14.4
100 2 14.4
100 3 16.4
100 4 16.4
100 5 14.4
100 6 15.4
100 7 15.4
100 8 13.4
100 9 15.4
100 10 14.4
100 11 13.4
100 12 15.4
100 13 14.4
100 14 13.4
100 15 15.4
100 16 14.4
100 17 13.4
100 18 14.4
100 19 14.4
100 20 14.4
50 1 18.4
50 1 18.4
50 2 17.4
50 3 19.4
50 4 19.5
50 5 18.4
50 6 16.4
50 7 19.4
50 8 18.4
50 9 20.4
50 10 19.4
50 11 17.4
50 12 18.4
50 13 17.4
50 14 17.4
50 15 18.4
50 16 19.3
50 17 19.4
50 18 17.4
50 19 18.4
50 20 17.4
20 1 30.4
20 1 29.5
20 2 28.4
20 3 27.4
20 4 27.4
20 5 30.4
20 6 29.5
20 7 28.4
20 8 29.5
20 9 31.4
20 10 29.5
20 11 26.5
20 12 29.4
20 13 29.5
20 14 29.4
20 15 27.5
20 16 32.4
20 17 30.4
20 18 27.4
20 19 28.4
20 20 27.5
10 1 50.5
10 1 49.5
10 2 46.5
10 3 47.4
10 4 51.5
10 5 51.4
10 6 50.5
10 7 47.5
10 8 49.5
10 9 48.5
10 10 48.4
10 11 48.5
10 12 52.5
10 13 51.6
10 14 48.5
10 15 47.5
10 16 51.5
10 17 48.5
10 18 49.5
10 19 49.5
10 20 49.5
