nodes repetition time
4 1 72.5
4 1 53.5
4 2 51.4
4 3 57.4
4 4 53.5
4 5 54.4
4 6 65.4
4 7 55.5
4 8 49.5
4 9 56.5
4 10 57.5
4 11 62.4
4 12 62.5
4 13 51.5
4 14 49.5
4 15 47.4
4 16 61.5
4 17 63.4
4 18 55.5
4 19 58.5
4 20 62.5
5 1 80.9
5 1 75.8
5 2 55.6
5 3 76.9
5 4 68.8
5 5 66.8
5 6 54.7
5 7 73.9
5 8 56.8
5 9 58.8
5 10 67.8
5 11 64.8
5 12 64.7
5 13 63.7
5 14 73.8
5 15 84.9
5 16 74.8
5 17 73.9
5 18 69.9
5 19 71.8
5 20 61.8
6 1 48.7
6 1 59.6
6 2 47.6
6 3 66.7
6 4 56.8
6 5 59.6
6 6 58.5
6 7 53.6
6 8 48.6
6 9 46.6
6 10 53.6
6 11 51.6
6 12 49.6
6 13 53.6
6 14 65.7
6 15 59.7
6 16 53.6
6 17 53.5
6 18 56.7
6 19 51.5
6 20 59.7
7 1 69.8
7 1 63.8
7 2 51.7
7 3 64.8
7 4 55.7
7 5 58.7
7 6 73.9
7 7 81.9
7 8 59.8
7 9 65.8
7 10 57.7
7 11 59.7
7 12 52.6
7 13 68.8
7 14 52.7
7 15 69.9
7 16 69.9
7 17 62.7
7 18 59.7
7 19 54.8
7 20 56.7
12 1 65.8
12 1 58.6
12 2 66.8
12 3 69.8
12 4 56.6
12 5 66.4
12 6 65.8
12 7 72.8
12 8 77.9
12 9 67.6
12 10 63.4
12 11 72.7
12 12 69.8
12 13 66.7
12 14 62.7
12 15 55.6
12 16 65.5
12 17 68.7
12 18 63.7
12 19 67.7
12 20 64.8
17 1 89.0
17 1 92.0
17 2 80.6
17 3 93.0
17 4 65.8
17 5 74.8
17 6 100.0
17 7 68.6
17 8 72.5
17 9 76.9
17 10 65.7
17 11 66.8
17 12 88.0
17 13 94.0
17 14 62.7
17 15 82.9
17 16 90.9
17 17 70.8
17 18 76.5
17 19 76.5
17 20 81.0
22 1 63.5
22 1 60.8
22 2 59.8
22 3 67.8
22 4 70.8
22 5 84.0
22 6 101.1
22 7 78.5
22 8 66.7
22 9 66.5
22 10 67.7
22 11 62.8
22 12 101.2
22 13 55.8
22 14 64.8
22 15 69.9
22 16 63.7
22 17 66.8
22 18 62.9
22 19 64.7
22 20 70.8
27 1 61.4
27 1 82.0
27 2 60.8
27 3 67.7
27 4 92.0
27 5 65.5
27 6 75.9
27 7 87.6
27 8 89.6
27 9 58.8
27 10 77.0
27 11 75.9
27 12 59.7
27 13 73.6
27 14 95.5
27 15 66.8
27 16 65.8
27 17 85.5
27 18 60.5
27 19 71.9
27 20 57.6
32 1 76.9
32 1 66.8
32 2 70.8
32 3 58.7
32 4 71.9
32 5 79.5
32 6 71.5
32 7 91.0
32 8 50.4
32 9 65.8
32 10 96.9
32 11 74.9
32 12 66.8
32 13 58.7
32 14 77.8
32 15 83.9
32 16 58.8
32 17 102.2
32 18 57.7
32 19 80.5
32 20 71.8
